,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1003_8,38,68,42,30,7,19,33,36,31,35,42,67,45,35,19,38,29,31,27,69,30,27,40,21,31,41,34,14,29,39,61,39,30,29,22,39,37,30,22,15,35,29,39,44,15,40,27,60,44,41
851_18,19,42,17,9,6,10,16,20,12,15,29,20,18,5,11,14,19,9,8,16,6,13,16,9,7,21,30,16,10,39,18,15,14,27,32,14,5,23,20,22,26,10,16,11,23,17,10,19,37,63
851_19,8,23,28,11,21,9,27,10,19,22,25,29,40,15,18,17,16,25,18,30,19,13,19,33,17,30,37,14,27,21,38,21,27,10,32,10,14,13,34,8,16,9,20,8,17,30,20,18,57,32
266_2,2,0,12,5,9,81,6,23,6,7,4,13,11,8,1,14,4,5,18,8,6,30,6,11,6,8,6,5,13,3,10,10,12,2,20,14,18,3,12,6,48,3,13,11,0,3,9,4,6,2
266_3,3,3,21,3,25,90,8,20,10,10,2,10,11,15,2,21,1,16,25,11,8,37,13,15,11,6,8,12,17,3,4,33,17,0,7,14,14,5,11,7,41,2,7,18,1,5,16,2,6,1
266_1,4,0,7,3,5,56,6,10,4,5,5,5,6,5,2,5,2,5,5,6,7,35,5,11,6,5,5,8,6,2,9,12,5,3,19,5,10,2,8,9,35,1,8,7,1,2,6,1,10,3
266_4,5,6,9,20,23,88,23,19,11,7,1,5,9,17,4,18,2,14,15,8,5,36,19,13,12,12,2,12,15,6,11,15,15,11,14,23,7,3,3,16,28,10,14,17,4,10,15,4,5,7
266_5,12,0,7,33,19,70,10,25,7,6,0,6,11,14,2,9,3,6,15,7,5,32,7,11,13,7,5,24,15,2,12,15,16,4,8,12,18,8,7,3,12,24,18,15,3,7,14,5,9,1
516_4,106,13,15,42,16,93,23,55,14,5,40,7,19,21,4,12,2,24,22,15,13,104,15,18,20,9,2,41,20,20,17,16,18,46,11,16,19,2,8,7,134,25,17,40,42,10,14,8,8,18
516_5,78,14,19,40,10,90,21,67,15,8,32,19,22,17,5,21,4,28,20,23,14,80,26,15,35,8,5,45,28,21,13,22,18,13,14,28,14,8,7,3,144,32,14,35,42,15,12,18,15,14
516_6,83,16,13,44,16,75,27,75,10,13,34,12,12,19,6,7,8,25,19,24,8,83,23,18,34,16,1,42,13,24,17,13,14,20,10,32,20,5,5,3,140,31,21,25,31,11,17,12,5,18
516_7,102,18,14,55,20,77,24,48,12,4,27,15,17,19,9,15,9,22,22,19,12,60,27,15,28,9,4,35,12,19,14,23,11,29,21,28,18,5,5,3,144,25,16,29,27,11,19,19,4,13
1473_2,0,0,2,2,6,7,1,2,0,5,0,2,0,7,2,0,1,3,9,3,1,5,3,4,0,3,0,4,10,0,0,1,0,1,0,0,2,0,3,1,0,1,10,1,0,3,4,0,2,0
516_1,111,11,21,37,4,86,18,41,12,6,46,13,16,10,4,29,6,14,17,16,4,61,22,9,18,7,5,34,17,20,13,28,13,19,20,33,18,6,9,7,138,47,12,30,34,10,11,13,9,17
516_2,105,14,16,38,16,96,19,48,15,22,29,19,18,14,5,19,8,21,17,17,14,83,15,21,21,9,4,26,8,20,16,27,19,37,19,14,9,9,9,7,146,33,16,26,39,10,15,11,11,18
1473_1,1,0,2,1,4,7,0,3,2,2,0,4,0,7,1,0,0,2,11,2,4,5,1,2,1,2,2,2,4,1,1,0,4,5,1,0,0,0,2,1,0,2,8,5,0,4,4,1,2,0
516_8,86,16,21,42,16,66,27,48,17,8,20,15,12,13,5,18,5,26,20,16,14,64,25,26,21,8,1,48,25,20,22,26,12,12,16,36,13,3,8,6,143,33,25,35,21,12,19,10,11,10
516_9,112,19,17,53,14,69,32,38,13,9,22,19,10,13,2,11,5,19,18,18,14,64,25,13,35,14,1,41,20,22,15,21,16,41,16,37,13,9,4,6,140,26,16,27,29,14,20,22,13,15
872_3,13,17,29,11,34,124,27,23,12,11,5,18,17,27,11,35,10,28,37,13,10,48,33,29,26,16,26,10,25,8,16,26,24,11,5,46,24,19,20,15,53,13,20,9,10,16,19,16,34,11
872_2,17,12,19,25,39,92,22,26,12,11,11,21,19,30,11,24,17,27,35,19,9,29,28,24,24,26,32,24,38,15,28,26,30,10,8,36,23,23,20,5,57,19,19,7,8,22,16,15,36,21
872_1,28,9,14,6,44,51,16,13,10,15,13,15,20,34,8,4,14,18,35,20,12,28,24,22,19,28,30,30,43,12,31,16,22,14,20,5,12,23,21,17,55,5,27,6,18,19,20,5,38,23
683_9,3,6,22,1,0,3,10,3,16,12,5,18,6,11,6,29,8,14,12,9,3,2,14,9,11,18,6,14,11,10,9,26,11,5,12,7,14,4,8,26,2,1,12,4,1,14,11,3,17,11
683_8,7,7,26,1,4,3,10,8,16,14,6,14,14,8,10,17,7,7,13,19,11,0,10,18,4,13,12,18,15,6,16,20,13,5,17,13,15,11,16,36,2,0,15,7,1,13,14,2,22,7
872_5,20,17,40,15,15,92,40,23,9,9,21,19,23,12,6,71,16,31,14,13,8,23,41,25,33,25,28,9,17,8,28,57,22,16,10,78,11,22,21,10,71,6,7,15,3,14,10,13,37,18
872_4,21,13,28,8,25,108,21,29,18,14,16,16,21,11,17,38,19,26,22,14,6,19,24,27,22,20,29,24,25,18,26,28,30,17,23,66,18,22,20,13,66,8,14,12,6,24,19,12,40,27
683_5,16,17,5,6,3,9,10,16,10,7,8,10,6,6,5,5,4,10,4,14,7,18,6,5,8,5,2,4,3,7,10,3,3,19,3,6,12,4,5,3,10,21,6,15,11,5,5,16,5,11
683_4,6,45,4,12,3,16,12,10,13,2,26,20,13,11,5,8,4,7,6,22,15,34,3,7,7,7,2,6,1,22,11,3,6,21,0,16,4,2,5,1,12,39,9,37,19,4,4,19,8,47
872_9,27,44,53,29,27,43,48,31,36,43,41,28,33,44,37,40,31,27,47,35,34,42,42,35,53,45,47,46,35,25,40,31,32,22,52,31,29,45,28,15,59,28,46,47,40,45,27,22,47,43
1572_5,67,21,13,68,18,74,11,35,19,23,37,22,33,29,6,12,12,10,32,14,19,93,13,27,13,28,6,46,31,19,30,6,14,26,49,14,21,6,16,40,110,71,24,21,46,24,28,21,19,16
1572_2,0,4,7,12,14,6,7,29,9,13,3,8,4,13,1,6,1,15,30,11,7,7,13,11,5,8,1,3,16,0,2,3,8,6,1,17,13,2,5,0,0,6,10,7,2,7,11,2,5,0
1572_3,15,5,6,6,31,24,9,12,7,7,8,11,11,11,1,10,4,11,17,11,12,17,9,20,10,9,2,11,20,2,12,7,19,6,10,6,11,7,12,22,18,8,11,7,4,12,6,6,3,2
683_3,22,29,4,18,7,25,10,5,12,7,20,7,9,9,5,15,3,5,5,19,17,33,9,3,9,7,2,6,2,12,16,7,6,23,3,22,3,6,7,3,24,42,5,36,39,6,5,20,9,36
1572_1,23,3,8,9,33,24,7,20,7,4,12,22,10,22,6,6,3,10,35,25,13,16,19,18,6,15,2,5,24,10,9,9,13,1,1,18,13,3,4,2,9,15,15,28,3,18,15,10,4,3
1042_2,26,9,9,10,2,16,8,4,5,3,8,14,13,9,5,5,3,1,1,15,2,17,7,5,8,6,3,12,5,9,9,5,4,14,13,0,5,8,2,9,31,4,8,11,10,5,11,17,8,11
1042_3,4,9,7,12,6,4,17,14,8,7,32,6,19,5,5,6,2,9,8,13,6,12,13,5,17,8,7,11,10,19,15,1,4,30,23,22,12,3,7,8,31,6,11,2,25,12,3,2,18,17
1042_1,15,7,2,0,4,10,5,4,4,2,13,8,13,4,4,2,4,3,7,11,6,22,5,5,7,11,3,11,4,15,7,1,3,13,16,1,7,3,9,15,10,7,2,14,14,6,7,4,7,14
832_7,8,11,10,7,26,21,14,5,19,20,18,4,17,7,13,11,7,10,13,6,22,34,10,7,12,10,10,5,8,11,17,8,11,30,3,19,4,6,16,3,9,16,7,13,56,13,8,21,20,24
832_6,9,26,10,8,29,20,9,11,18,18,22,5,9,11,8,11,4,9,8,4,19,47,10,9,7,12,12,9,12,24,12,5,8,20,12,22,8,5,15,7,12,26,5,17,62,11,11,12,21,32
349_8,44,48,72,4,8,7,21,20,26,44,33,38,36,20,60,41,59,27,29,46,9,9,34,29,19,43,126,28,26,20,24,54,31,12,13,25,18,50,84,25,32,3,32,21,6,53,16,17,77,43
349_9,2,9,3,6,3,13,22,2,8,12,11,3,3,4,0,10,0,17,10,5,4,14,17,5,19,2,20,3,8,5,2,4,4,98,1,28,1,1,17,0,0,10,6,1,51,3,4,0,11,5
573_13,0,1,0,0,3,10,3,3,5,4,2,1,0,6,3,3,0,4,14,3,4,5,5,4,2,1,1,2,15,0,2,4,0,0,1,0,4,0,3,0,2,1,2,9,0,4,3,0,1,0
573_12,2,0,0,1,1,3,1,0,3,5,3,2,1,6,4,3,2,1,3,2,2,0,2,2,1,3,1,4,4,0,1,0,5,0,2,0,0,2,2,0,2,3,7,5,1,2,0,2,1,1
573_11,3,1,2,3,2,10,0,1,3,3,2,1,0,4,1,1,3,3,7,5,2,3,1,1,0,5,2,5,6,1,1,1,1,0,2,0,1,1,1,0,0,1,2,7,1,5,0,4,1,1
573_10,0,1,2,2,6,16,0,4,6,3,1,3,3,8,2,4,3,4,8,3,4,4,5,0,1,3,4,7,6,1,0,0,4,3,4,2,2,2,2,0,1,2,9,8,0,6,1,3,2,0
349_2,43,44,34,9,5,12,14,11,23,19,24,40,26,19,32,21,37,17,18,42,16,37,10,8,8,21,61,8,14,37,30,20,16,8,11,12,19,46,42,12,8,4,22,30,2,35,26,24,47,38
349_3,70,49,93,2,11,9,40,10,46,44,46,44,40,16,61,83,63,39,30,44,20,3,52,39,33,37,121,14,26,22,36,88,39,9,22,51,10,59,77,19,28,1,24,30,2,57,12,8,86,44
24_4,12,10,6,6,3,8,2,3,4,0,8,9,8,9,1,3,1,4,7,13,8,7,6,2,4,7,2,9,10,5,6,1,3,1,0,3,5,3,3,2,5,12,18,22,1,8,2,9,2,5
24_3,5,6,4,3,7,11,1,1,3,4,5,3,3,6,2,0,2,4,5,3,1,3,5,1,1,3,2,4,8,4,5,1,4,1,5,0,0,5,1,1,10,5,6,6,1,3,3,2,0,2
24_2,9,0,2,1,2,4,0,3,8,1,2,4,5,3,0,0,3,1,6,8,4,5,3,2,1,2,2,5,5,3,4,2,4,0,1,0,9,3,3,0,4,4,6,15,0,0,4,8,3,1
24_1,5,2,4,4,13,4,2,7,9,4,1,16,16,17,2,4,4,5,12,16,5,0,4,6,3,11,1,0,15,4,16,2,11,0,3,1,6,3,6,2,36,5,14,10,0,6,10,10,4,0
349_5,49,71,81,9,16,29,47,17,39,40,52,22,21,44,61,61,56,34,39,29,20,22,33,42,50,37,136,14,31,23,13,70,44,17,17,40,23,59,77,17,33,8,41,44,11,58,18,20,78,47
1687_1,2,3,1,0,4,21,0,2,4,4,0,1,1,10,5,0,4,8,2,1,0,16,3,1,4,5,0,3,3,4,0,0,1,2,0,1,0,3,2,1,0,5,7,3,3,8,0,0,0,3
1220_4,4,1,1,1,7,21,2,2,2,0,1,2,1,6,3,0,2,0,1,0,0,16,2,4,0,2,2,10,2,0,0,0,1,5,2,5,0,1,1,4,11,4,6,1,3,0,0,4,1,0
1220_5,13,1,4,0,4,5,0,1,3,2,4,3,3,3,2,2,5,2,2,6,0,5,1,0,3,5,0,1,5,2,4,2,1,3,3,5,0,4,4,4,7,0,3,1,0,3,0,0,1,0
118_8,5,13,8,19,7,22,13,11,11,17,15,7,9,15,7,2,4,20,16,6,14,19,19,11,16,12,14,25,17,9,9,4,8,37,11,20,8,10,6,10,8,86,14,16,29,7,4,5,17,13
118_9,5,6,11,15,18,23,9,20,13,8,16,11,11,7,9,10,4,13,21,10,6,20,12,12,9,7,10,42,12,8,12,4,6,25,13,21,4,8,13,11,7,73,8,17,16,5,7,2,17,12
623_3,22,24,20,13,13,81,9,16,16,12,22,34,25,28,23,23,13,19,24,36,20,45,15,10,7,26,7,13,14,14,16,15,10,17,10,10,13,17,18,19,103,8,25,27,14,26,6,13,7,22
1220_1,7,3,2,4,5,12,0,5,2,1,4,5,2,4,3,2,7,2,3,7,2,15,1,4,0,4,4,3,8,4,2,0,1,0,1,2,1,4,9,8,7,7,8,9,0,4,0,3,3,3
1220_2,1,0,1,5,0,5,1,2,0,0,0,0,1,3,3,1,2,1,2,0,0,2,1,2,0,2,6,1,2,1,0,0,1,0,5,152,0,2,5,2,1,10,4,1,2,2,0,0,0,0
1220_3,5,1,1,3,0,12,0,1,3,2,0,1,6,3,1,0,1,1,1,3,1,19,2,0,1,2,0,1,0,0,3,0,1,5,0,1,0,3,1,1,12,2,3,3,5,2,0,11,1,1
118_2,3,7,6,10,23,16,12,7,7,10,6,7,14,11,4,3,10,16,13,5,10,23,12,10,11,8,7,15,16,8,8,0,10,29,12,10,1,10,3,17,4,63,8,17,18,9,4,4,15,7
118_3,3,17,3,6,17,12,19,7,6,13,10,3,9,8,4,6,3,17,11,8,1,24,14,9,14,9,6,20,14,7,11,12,12,11,9,9,2,6,7,19,3,57,9,16,10,9,6,5,7,8
118_1,5,7,7,11,16,17,3,7,7,8,4,11,8,9,2,3,10,12,15,7,7,33,11,4,3,10,8,16,17,4,7,5,7,24,10,10,3,8,3,17,5,50,4,18,19,5,3,2,12,5
118_6,7,8,4,8,20,22,14,9,14,14,6,6,6,10,4,8,2,17,17,10,8,25,13,8,16,11,5,22,16,9,8,6,12,28,8,11,2,2,1,11,2,72,8,18,18,8,4,8,13,7
118_7,2,18,10,15,19,21,16,17,10,13,16,11,12,7,5,13,5,16,16,3,9,33,18,12,11,6,5,28,10,9,7,6,7,36,9,10,6,5,13,12,4,76,6,20,18,9,3,7,13,11
118_4,6,6,10,4,18,13,16,8,13,10,15,4,14,7,9,5,6,11,11,3,7,21,16,11,12,9,5,32,6,5,11,8,13,24,10,10,7,7,6,15,6,63,4,15,14,10,2,8,17,2
118_5,6,10,10,8,17,25,16,8,8,9,10,4,11,11,7,4,5,14,17,6,5,29,10,2,13,10,1,24,14,3,10,2,5,25,11,10,2,8,7,25,9,75,7,18,25,5,2,6,12,8
341_2,1,1,2,1,1,7,0,1,1,2,0,8,3,2,1,0,5,4,4,4,0,1,1,0,0,6,0,3,3,0,3,1,0,0,1,0,4,3,0,9,2,0,3,1,2,9,1,1,0,3
341_3,8,12,5,9,8,8,11,7,6,5,14,16,21,11,4,18,4,19,8,16,8,16,12,12,9,6,3,10,11,6,22,12,9,8,6,11,1,6,8,3,9,6,11,9,5,8,9,11,9,14
341_1,16,18,11,1,21,42,24,8,20,7,14,29,30,16,9,10,17,18,17,25,10,64,12,10,24,22,3,19,16,6,29,30,17,29,16,21,11,10,11,11,20,3,19,26,12,11,12,20,12,26
450_4,0,4,8,0,1,2,3,0,1,3,4,7,0,3,4,1,14,1,5,5,1,1,2,1,0,14,8,2,5,0,3,1,2,1,1,0,0,17,9,1,0,0,2,2,1,16,1,3,5,0
2256_2,0,0,0,1,4,0,4,3,1,1,0,0,2,1,0,3,1,4,0,1,1,0,1,7,6,0,0,0,1,0,1,1,10,1,0,28,0,1,0,2,1,1,0,1,0,2,7,1,0,1
1347_1,4,1,6,6,7,5,2,5,5,8,2,7,8,7,3,5,2,7,8,8,4,5,5,4,2,5,3,5,10,0,10,3,5,2,2,3,2,3,6,0,1,3,5,14,0,8,1,7,8,2
1347_2,34,48,13,26,13,72,50,43,32,27,43,29,37,36,12,7,19,28,20,33,10,47,20,26,35,27,11,34,18,39,50,19,22,26,27,13,25,22,11,14,62,22,38,23,71,29,31,38,21,49
1347_3,14,1,5,5,4,12,3,1,3,1,3,10,1,3,2,1,4,1,4,8,2,7,1,4,1,2,2,2,4,8,3,5,2,2,4,1,3,5,2,13,6,10,7,5,1,4,4,8,0,10
70_4,13,30,141,26,47,122,103,70,56,72,20,51,36,31,13,347,15,109,53,39,37,39,113,127,88,36,27,34,60,6,39,345,139,22,15,189,74,10,51,10,22,22,40,27,4,31,72,7,78,22
1856_4,63,22,55,53,82,129,86,71,60,41,21,41,50,71,19,70,16,71,52,39,71,153,66,55,66,38,7,132,52,8,53,65,59,74,62,108,41,18,35,47,39,52,69,57,111,29,52,20,44,21
1856_1,129,30,18,45,29,90,33,19,13,11,25,14,21,13,3,44,9,21,19,18,22,82,17,11,29,7,4,43,12,18,22,34,15,26,23,25,7,9,6,58,120,19,8,25,58,2,2,22,14,22
70_1,44,34,13,43,19,56,23,67,10,9,62,50,56,16,7,19,20,19,16,47,17,30,22,21,37,13,7,18,13,38,60,20,18,26,11,23,17,17,11,1,65,40,13,19,77,15,30,27,10,79
1856_3,160,22,22,31,53,91,45,32,18,18,22,16,34,33,5,26,5,27,34,15,23,46,30,37,35,16,7,68,36,14,27,19,34,13,25,33,24,6,17,16,194,20,37,31,41,13,27,25,18,20
70_3,54,1,6,0,6,3,2,2,5,4,1,12,9,9,0,2,5,1,4,7,2,10,0,7,2,4,1,19,5,4,7,2,4,5,15,1,2,8,3,8,36,3,9,5,31,6,2,1,0,4
110_2,5,1,0,3,4,20,1,5,1,2,1,2,6,6,0,0,0,0,2,1,6,4,0,2,0,0,0,1,2,0,4,0,2,0,1,0,4,0,0,0,13,3,2,1,1,0,4,1,0,0
2223_11,17,16,4,30,17,22,3,3,11,13,9,7,9,4,15,2,5,6,4,6,6,57,6,5,3,4,19,16,0,7,9,2,4,6,17,2,2,5,6,6,6,47,3,13,8,7,1,9,15,6
2223_12,10,11,9,23,8,28,9,5,9,9,6,6,8,4,9,4,2,5,4,6,7,54,3,5,4,7,23,23,5,8,7,5,2,3,13,4,2,4,11,15,7,58,0,8,2,9,0,8,19,1
110_1,9,0,1,7,7,7,2,7,2,0,1,5,8,4,1,1,1,1,2,1,3,8,1,6,2,6,1,3,7,0,10,0,8,0,2,2,2,2,0,0,7,1,4,5,1,1,7,2,2,0
2223_14,3,6,7,7,9,12,7,6,10,11,7,6,5,6,6,3,3,8,14,6,6,13,5,5,4,6,17,9,11,9,7,1,7,6,3,2,5,7,6,6,16,1,4,4,3,4,4,2,14,10
2223_15,12,3,11,11,9,19,4,9,8,12,7,10,4,3,13,4,15,8,5,7,6,19,8,4,3,13,19,12,4,3,10,3,4,0,1,0,9,13,16,12,36,4,2,2,1,13,4,2,17,4
2223_16,1,0,1,0,7,20,3,2,2,1,0,1,0,3,0,0,0,1,9,3,1,2,5,3,0,4,1,9,5,1,2,1,3,0,3,2,1,0,2,0,0,0,1,0,0,3,2,0,1,0
2223_17,0,1,0,2,0,10,1,5,2,2,0,0,0,2,2,0,0,6,4,2,3,2,8,4,1,2,1,7,7,0,1,0,3,2,2,0,1,0,1,0,0,2,3,1,2,1,2,0,0,1
2223_18,1,0,0,1,5,18,2,1,1,2,0,0,0,1,0,0,0,2,9,1,0,0,1,1,0,0,0,2,6,0,0,0,2,0,2,4,0,0,1,0,0,0,3,1,1,0,2,0,0,0
1080_10,4,4,5,9,3,13,2,1,1,4,3,9,3,6,4,5,1,6,5,7,2,14,6,3,1,6,1,7,7,1,2,5,3,11,7,5,2,1,3,2,1,5,10,8,4,4,1,3,1,1
1764_5,29,4,7,77,13,63,15,18,7,4,20,11,10,7,5,15,7,22,10,6,6,35,14,9,14,4,8,30,10,37,10,21,9,25,15,34,6,9,7,4,35,104,8,28,9,3,7,2,11,6
770_2,132,87,98,20,9,44,45,23,41,40,61,91,93,33,191,52,170,46,34,93,20,55,37,40,22,79,103,57,51,54,97,92,33,18,33,28,35,160,119,41,61,5,49,45,12,86,29,52,89,75
1764_7,26,11,6,45,14,39,15,15,9,8,30,11,9,11,7,7,4,18,9,11,9,29,16,11,15,7,9,29,17,70,5,15,9,40,12,32,3,6,7,8,22,112,15,17,27,6,5,7,9,21
1764_6,34,10,10,63,15,47,12,21,7,8,25,9,16,10,9,9,3,11,20,6,9,33,15,4,13,9,7,26,14,37,9,10,4,21,13,20,4,4,5,6,21,76,8,20,16,7,4,2,4,9
1764_1,1,1,1,6,4,1,4,5,4,5,6,5,8,4,4,0,5,2,1,4,3,2,3,0,3,7,7,12,9,5,6,0,5,1,7,3,3,4,5,3,3,8,12,3,2,7,3,2,4,1
519_2,11,6,5,0,1,3,0,0,1,5,2,6,5,2,11,1,7,2,3,13,0,1,2,0,0,8,5,2,1,4,8,3,3,0,2,2,1,5,6,0,4,1,2,1,1,9,0,6,4,0
1764_3,58,1,11,63,13,66,12,7,4,6,27,4,6,5,1,7,4,8,7,4,4,42,6,5,9,3,8,17,9,33,3,9,5,18,7,7,4,9,4,6,29,78,6,10,36,7,4,8,8,6
1764_2,0,3,6,3,17,9,14,6,7,12,11,6,4,8,5,1,7,9,9,8,5,18,8,13,16,13,3,13,16,6,9,4,16,6,7,2,8,11,3,0,6,2,14,4,10,8,7,8,12,2
1764_9,39,8,11,36,11,36,9,27,6,4,24,10,13,6,4,18,7,16,15,13,6,45,13,20,17,5,10,27,14,43,13,14,13,23,14,16,7,7,9,7,31,109,15,21,23,6,7,4,11,4
1764_8,44,12,8,40,15,40,11,12,5,4,38,12,8,6,6,12,3,11,13,5,8,29,20,7,17,8,7,47,10,51,13,17,5,23,8,30,5,7,9,10,21,111,10,25,20,4,5,6,18,8
519_9,95,10,7,11,16,93,27,19,2,10,10,8,11,18,2,5,5,22,7,7,6,72,16,16,21,8,4,42,11,9,10,6,12,28,9,23,12,4,5,6,64,6,12,11,35,8,12,0,1,8
519_8,49,12,7,7,26,48,15,11,10,7,19,9,9,6,5,5,5,21,18,9,14,44,18,11,25,8,1,23,18,8,7,11,15,24,13,20,13,2,9,8,50,8,8,14,42,5,8,6,8,10
1066_16,68,13,22,35,39,43,23,28,28,29,7,27,23,22,77,22,23,23,20,32,29,46,19,21,24,22,18,85,15,31,22,27,20,19,40,16,22,29,24,10,21,22,30,24,20,34,20,15,36,11
1066_17,64,10,23,39,48,50,17,23,41,28,12,30,20,29,75,14,20,27,23,17,25,41,19,22,20,28,19,95,20,38,31,33,16,13,41,21,20,25,21,5,30,30,25,17,25,29,23,18,36,8
1066_14,69,17,18,39,47,52,20,34,25,23,13,33,27,22,77,18,20,26,27,28,23,42,19,29,21,27,13,98,23,28,34,23,19,18,36,31,17,26,17,14,22,27,25,25,16,35,20,18,35,11
1532_1,1,1,0,0,3,7,0,6,2,4,0,2,1,3,3,2,0,3,5,3,2,5,1,2,1,2,0,3,5,0,1,0,0,0,1,1,0,0,1,3,1,1,3,4,0,4,1,1,2,0
1066_12,69,14,17,25,53,66,25,27,40,27,10,44,15,33,74,21,23,28,31,29,26,39,32,33,26,24,16,100,32,31,31,33,42,29,33,29,26,30,20,4,33,15,26,18,17,26,18,19,36,12
151_2,3,0,1,0,0,1,0,0,0,1,1,0,0,1,2,0,5,0,0,0,0,1,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,7,2,1,2,0,0,1,0,4,0,1,1,1
1066_10,74,13,19,31,65,51,27,31,41,34,15,21,14,27,74,29,25,37,38,25,26,53,36,38,29,34,16,64,26,27,25,38,38,18,35,27,20,35,28,8,37,19,23,33,16,32,19,12,41,6
1066_11,70,15,23,19,64,68,28,35,38,48,14,24,23,24,78,29,23,32,51,25,19,39,33,33,30,27,16,80,28,43,25,42,28,24,29,33,23,31,27,6,34,19,37,25,20,31,16,15,45,13
1066_18,68,11,25,38,57,55,23,29,26,23,11,21,21,24,81,23,21,32,17,13,21,43,26,30,16,26,18,100,24,32,35,32,18,15,42,18,15,32,22,14,27,24,23,15,9,29,23,14,27,6
1066_19,4,38,49,14,30,16,35,10,51,46,26,38,24,57,40,28,23,39,35,50,35,51,41,27,47,39,42,40,19,18,15,18,28,55,34,33,15,27,33,21,4,18,62,49,67,56,13,12,41,43
1143_4,43,39,36,7,1,9,9,4,15,14,22,31,18,9,20,17,33,10,12,31,10,14,9,7,7,21,32,7,9,26,12,41,11,2,14,11,12,26,22,19,25,6,10,16,2,20,9,26,21,33
1143_2,30,42,68,12,2,5,32,43,58,45,36,72,40,37,32,44,36,38,42,78,30,16,32,41,33,50,60,21,30,32,47,47,34,21,19,36,45,36,36,29,17,5,42,36,6,57,51,28,48,28
1143_3,6,2,3,0,0,2,2,0,5,2,2,0,0,5,6,4,4,4,4,1,0,8,9,4,4,8,4,1,5,1,0,0,4,7,1,3,0,3,5,0,3,1,6,5,7,3,1,1,0,5
1143_1,37,41,66,18,4,16,20,49,24,26,25,60,49,15,33,40,38,34,27,49,17,15,20,24,24,29,51,23,28,24,40,61,29,10,25,36,26,36,40,38,36,12,19,15,4,30,26,43,37,24
79_5,3,5,0,5,1,2,1,0,1,3,3,1,3,5,8,0,17,0,0,2,1,8,2,0,0,3,8,1,1,2,2,1,1,0,0,0,0,18,2,3,2,7,1,6,1,7,0,2,6,0
79_4,9,4,1,7,0,7,0,0,0,1,3,3,1,3,6,1,17,0,0,3,0,12,1,0,0,4,9,0,3,1,2,2,0,0,0,0,0,17,2,0,1,5,5,10,0,8,0,1,6,0
293_8,10,50,30,8,7,3,11,7,27,20,28,10,20,16,109,6,53,11,17,8,21,14,16,6,9,29,49,11,18,18,15,15,6,14,11,5,6,61,36,6,9,12,26,27,25,35,7,6,36,22
2177_1,2,0,1,0,2,3,0,0,0,2,1,1,2,6,1,0,1,1,2,2,1,3,0,0,0,8,0,0,1,2,2,0,1,0,2,0,0,0,1,2,0,0,6,1,0,2,0,3,1,0
2215_9,5,16,14,22,12,14,21,15,20,28,24,12,16,24,8,12,7,15,18,15,28,20,21,14,20,16,10,14,12,17,9,7,17,28,6,9,14,6,9,0,8,32,24,39,46,19,16,30,22,21
2215_8,11,9,14,8,5,10,33,27,18,22,14,37,49,9,10,28,13,6,12,37,10,3,16,26,27,23,9,17,26,12,50,28,30,4,67,15,38,12,19,34,14,4,21,17,1,27,33,12,30,16
784_1,0,2,2,0,4,15,0,3,0,2,4,1,3,5,1,1,4,9,9,5,3,12,4,2,0,3,0,3,11,0,5,2,0,3,0,2,0,4,4,1,2,2,4,4,0,2,3,6,2,4
643_8,3,1,1,0,0,15,0,0,1,0,1,3,3,1,7,0,1,0,2,2,0,7,0,0,0,1,9,0,0,1,1,0,1,1,0,0,0,1,2,0,1,1,0,0,0,3,0,1,0,0
2215_5,7,8,14,8,8,4,10,9,23,17,8,12,23,9,5,6,3,10,12,14,16,13,8,13,14,9,5,6,8,5,20,6,7,7,12,4,12,2,15,2,11,11,6,10,18,12,8,15,8,6
1372_1,2,26,28,11,13,16,13,9,30,16,7,13,14,29,11,7,12,11,23,25,25,20,11,12,10,29,17,5,25,7,19,12,11,3,12,4,23,10,17,3,2,16,33,58,2,26,21,18,22,7
403_1,18,6,3,1,17,10,3,1,5,6,18,6,2,1,1,3,3,0,9,9,4,6,2,3,7,1,4,1,4,3,0,1,2,4,0,2,0,1,3,0,6,4,3,4,19,0,1,3,4,1
2215_6,2,15,8,5,14,6,11,3,13,11,7,13,11,2,6,4,0,3,7,6,10,18,4,11,5,4,1,6,11,10,9,1,10,9,3,6,3,0,7,2,2,4,12,14,18,9,2,11,10,9
293_6,11,40,88,55,97,100,83,52,37,50,49,55,65,30,25,109,35,99,60,53,32,44,96,102,108,37,19,63,68,44,61,94,87,54,49,149,39,31,41,36,30,67,33,29,64,40,54,14,47,30
79_8,4,3,1,5,7,11,1,2,4,2,3,10,2,7,4,0,3,1,2,1,2,5,2,0,2,1,10,3,2,3,2,0,1,1,2,0,0,2,3,0,3,8,3,5,0,4,1,3,3,1
2215_3,0,3,1,2,1,4,0,4,3,1,1,2,1,5,0,1,2,3,3,2,3,10,2,1,0,3,5,3,1,0,3,1,0,0,0,1,2,4,1,0,3,6,7,2,0,3,2,1,1,0
2215_2,0,2,0,1,0,7,1,1,1,1,2,4,2,2,2,2,3,2,0,1,1,4,0,1,0,6,8,0,0,2,0,2,0,2,2,0,1,2,3,1,3,2,2,1,1,5,0,2,1,2
