,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1871_3,2,3,6,9,7,6,2,3,3,9,4,0,5,5,8,2,12,7,2,2,7,16,6,5,2,2,12,12,5,1,8,4,6,0,3,1,3,9,15,2,17,9,1,3,2,4,4,1,12,1
2149_1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,2,0,0,0,1,0
1907_8,6,122,5,2,23,6,19,3,6,8,16,8,5,10,7,10,40,16,19,5,4,6,19,22,13,14,6,3,20,2,2,4,24,26,3,32,10,32,9,16,1,3,15,8,22,17,9,6,23,35
1907_9,2,12,17,5,16,19,19,23,16,11,12,11,4,19,4,22,5,25,17,11,11,88,34,12,24,13,2,13,17,9,3,21,10,56,1,123,13,7,10,19,3,4,26,6,19,15,13,2,6,13
1907_6,3,10,21,5,28,44,11,17,12,16,2,15,10,36,18,11,21,12,45,14,6,45,19,19,10,33,1,29,32,9,16,14,13,7,13,5,16,18,9,51,1,8,39,12,3,36,10,7,6,6
1907_7,0,3,3,0,2,1,4,4,2,6,6,2,1,3,0,5,1,10,6,3,1,24,9,1,4,0,0,1,6,0,2,3,2,26,0,46,2,4,1,2,0,0,7,1,4,3,0,0,4,0
1907_4,114,44,73,9,42,47,95,25,54,52,41,41,44,13,5,195,11,66,28,33,42,76,54,67,113,25,34,23,44,40,53,203,93,25,38,86,47,14,72,20,67,13,17,27,24,19,56,16,76,69
1907_5,54,6,6,11,36,26,14,11,6,13,20,2,9,6,4,9,1,7,5,7,8,12,12,10,9,9,3,24,10,24,11,5,15,8,8,12,5,4,8,4,98,32,8,7,11,8,3,14,12,5
1907_2,27,20,8,12,7,10,5,11,13,21,14,21,22,24,14,7,12,13,13,24,10,24,9,7,8,22,10,7,11,11,26,12,9,3,28,2,18,11,6,28,22,8,21,12,1,24,20,22,13,9
1907_3,33,85,82,29,50,46,177,57,67,74,60,81,86,22,13,273,16,116,44,67,45,58,106,105,173,32,38,25,48,113,75,259,112,49,32,132,65,21,66,1,52,32,30,44,38,33,77,26,111,122
1907_1,15,19,18,13,16,16,8,13,22,24,29,35,35,28,8,11,9,6,26,36,23,48,15,16,11,20,8,11,22,12,35,6,9,3,34,5,16,8,7,19,19,17,21,21,3,23,10,16,21,9
1830_1,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,3,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1
1830_3,2,0,0,4,7,1,0,3,2,3,0,1,0,11,0,3,0,3,6,1,6,6,1,3,1,1,0,3,0,0,0,0,2,0,2,1,2,0,1,3,0,5,10,3,0,4,2,1,1,0
1830_2,0,2,1,0,0,0,0,0,1,0,0,0,0,2,0,0,5,1,2,0,0,0,1,0,0,1,0,3,0,0,1,0,0,0,0,0,1,2,1,1,2,3,4,0,0,0,0,0,0,0
458_1,92,26,20,15,34,137,26,35,19,15,19,15,15,27,6,25,6,27,25,11,10,84,32,24,35,12,5,52,22,10,10,23,31,28,12,30,20,4,13,6,31,7,30,29,41,12,21,15,8,12
1707_4,9,4,1,7,0,7,0,0,0,1,3,3,1,3,6,1,17,0,0,3,0,12,1,0,0,4,9,0,3,1,2,2,0,0,0,0,0,17,2,0,1,5,5,10,0,8,0,1,6,0
1707_5,3,5,0,5,1,2,1,0,1,3,3,1,3,5,8,0,17,0,0,2,1,8,2,0,0,3,8,1,1,2,2,1,1,0,0,0,0,18,2,3,2,7,1,6,1,7,0,2,6,0
1707_6,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,5,0,0,0,0,1,1,0,0,2,3,1,1,1,2,0,0,4,0,0,0,6,2,0,1,1,1,1,0,2,0,1,2,2
1707_7,0,2,1,1,1,0,0,0,0,0,0,1,0,2,1,0,4,1,0,2,1,4,2,1,1,1,3,0,2,1,2,0,1,0,0,0,0,6,2,0,1,6,2,4,0,2,0,0,2,3
1707_1,4,3,2,1,0,0,1,0,0,2,5,0,0,0,8,0,15,2,1,0,0,0,4,0,0,4,11,0,2,0,2,0,0,0,1,0,0,16,7,1,1,0,0,0,0,6,1,0,4,0
1707_2,2,5,2,1,0,0,0,1,0,2,3,0,2,1,8,1,14,0,2,0,1,2,0,0,0,3,7,0,3,0,3,0,1,1,0,0,0,16,6,3,1,0,3,0,2,7,0,0,4,0
1707_3,5,2,1,0,0,1,0,0,0,3,2,0,0,0,6,0,14,2,0,0,0,1,3,0,0,2,10,0,0,0,2,1,0,0,0,0,0,15,4,0,0,0,0,1,0,6,0,0,6,0
1707_8,4,3,1,5,7,11,1,2,4,2,3,10,2,7,4,0,3,1,2,1,2,5,2,0,2,1,10,3,2,3,2,0,1,1,2,0,0,2,3,0,3,8,3,5,0,4,1,3,3,1
1707_9,0,20,0,0,1,0,6,0,1,1,9,0,0,0,0,2,0,39,5,0,0,0,19,17,9,1,0,0,6,1,0,1,20,44,0,28,0,0,0,0,0,0,1,0,12,0,0,0,0,1
369_12,1,1,2,4,0,1,3,1,0,6,1,2,3,2,3,2,2,5,1,2,2,6,2,1,3,2,0,8,1,2,3,2,0,7,1,2,0,2,4,1,2,1,4,2,3,1,1,1,3,9
54_4,12,2,2,6,19,10,7,9,7,7,3,7,4,14,1,5,3,13,22,11,3,10,12,5,4,10,3,13,13,5,6,3,4,2,5,4,6,2,5,2,6,7,13,8,6,10,8,3,3,0
54_2,0,1,1,1,0,1,1,0,0,4,1,4,1,0,0,1,1,1,5,3,2,0,2,1,0,2,1,0,5,0,0,0,0,0,0,0,0,1,3,1,0,0,6,1,0,4,1,1,2,0
54_3,16,0,2,0,2,0,0,1,1,2,0,7,2,4,1,0,6,1,8,5,1,2,1,1,0,4,1,5,2,1,1,0,0,0,3,3,0,3,4,1,0,0,4,5,0,3,0,0,3,1
54_1,3,0,1,1,0,0,0,0,0,0,0,0,1,7,0,0,2,0,2,0,2,0,1,0,0,6,0,2,5,0,0,1,1,2,2,0,0,2,4,4,0,0,7,0,1,3,1,0,1,0
2277_1,23,7,4,12,4,15,4,5,5,6,13,12,10,12,10,6,4,6,12,17,6,14,8,6,4,12,4,17,11,6,9,4,1,3,10,5,5,4,7,8,12,27,13,16,4,12,1,19,3,4
2277_3,5,1,6,0,8,11,0,2,2,7,2,6,8,4,25,4,28,2,7,1,2,11,5,2,0,8,24,16,4,0,8,7,2,1,13,4,1,24,12,9,11,0,6,4,0,5,1,0,13,0
2277_2,0,3,4,0,7,5,1,1,5,7,3,3,4,10,7,6,13,3,5,1,2,10,4,5,2,7,10,7,7,0,8,2,5,2,18,3,0,18,13,7,0,2,5,4,0,12,5,0,17,0
2155_2,0,0,0,0,4,3,0,3,1,1,0,1,0,1,2,0,1,2,5,2,0,1,1,5,0,0,0,1,4,0,1,0,2,0,0,0,0,1,1,1,1,0,2,1,0,4,1,0,2,0
